algorithm	target	runtime	seed_size	seeds
trustrank	drug	19.8756952285767	10	['348', '54503', '43', '3162', '344', '345', '2934', '5663', '351', '7276']
trustrank	drug	20.0438582897186	10	['348', '1813', '3576', '3557', '3976', '3479', '1814', '3569', '7054', '6531']
trustrank	drug	19.9696364402771	10	['196', '5444', '1401', '3630', '5468', '1828', '2101', '51733', '2110', '3356']
trustrank	drug	19.9685173034668	10	['2778', '6337', '8675', '26249', '65266', '4306', '149775', '6338', '65125', '6340']
trustrank	drug	19.9687156677246	10	['775', '790', '4780', '4879', '3043', '3240', '7412', '1723', '7124', '7372']
trustrank	drug	20.2716889381409	25	['4314', '4853', '10397', '3845', '4233', '23462', '367', '673', '8202', '4763', '26524', '2100', '5781', '57670', '10683', '9113', '3091', '4915', '4851', '90', '23493', '3082', '4318', '2260', '2099']
trustrank	drug	19.9965803623199	25	['2187', '2178', '2188', '2177', '134218', '90332', '57697', '114803', '2122', '2189', '84464', '5889', '2176', '6157', '55120', '2056', '113235', '55215', '55034', '1440', '79728', '83990', '675', '6948', '2175']
trustrank	drug	20.4444603919983	25	['196', '10135', '4843', '7263', '23411', '3162', '3605', '3458', '3553', '8174', '7078', '3569', '6868', '4353', '5970', '6714', '3479', '3586', '240', '2641', '4282', '3565', '51738', '5743', '7124']
trustrank	drug	19.9024174213409	25	['3440', '5196', '374569', '2815', '6678', '9948', '54205', '64376', '3704', '2623', '5795', '5175', '1437', '8797', '861', '3105', '7498', '84930', '2056', '1440', '3562', '6948', '2120', '2212', '3674']
trustrank	drug	20.1075570583343	25	['4843', '10806', '23411', '3162', '3440', '100506658', '6121', '1297', '7431', '4543', '406959', '5155', '5788', '5311', '6310', '11277', '406958', '4318', '1103', '30813', '7422', '3383', '7070', '7124', '8322']
trustrank	drug	20.3501012325287	50	['641', '4297', '2178', '3717', '2188', '1441', '23532', '6774', '728724', '2956', '367', '673', '5590', '8202', '472', '8837', '10492', '572', '3981', '2246', '4763', '7490', '55512', '10848', '2189', '4893', '5781', '5551', '3558', '2078', '1029', '2176', '595', '366', '5347', '7153', '29072', '55904', '330', '2944', '8314', '8877', '83990', '4255', '5728', '54541', '3240', '2175', '2099', '8743']
trustrank	drug	20.4678733348846	50	['1786', '79813', '7409', '2064', '23476', '23532', '5395', '6774', '4609', '114826', '472', '5294', '4613', '8312', '6277', '4352', '1021', '3090', '4683', '5156', '2100', '10389', '7994', '7403', '898', '474', '5015', '8019', '5727', '2313', '51684', '324', '4610', '6046', '23030', '6608', '79728', '8643', '92335', '675', '83746', '6502', '6275', '84456', '8660', '6281', '1499', '23081', '11186', '6447']
trustrank	drug	24.528192281723	50	['3593', '26525', '29785', '10318', '864', '338442', '6774', '3569', '117289', '4288', '55905', '8875', '54620', '130340', '10498', '163702', '125893', '6648', '8876', '7128', '5271', '1437', '79092', '4792', '84648', '1401', '51752', '6278', '5468', '7297', '55350', '23586', '5966', '348', '847', '3596', '7039', '51561', '149233', '353144', '2706', '10758', '7422', '1356', '5111', '64478', '353143', '7124', '5972', '7157']
trustrank	drug	20.2292001247406	50	['6470', '154', '1137', '10392', '836', '2290', '9429', '55738', '4803', '7298', '429', '6573', '5625', '6647', '4842', '7274', '6315', '2353', '5054', '6414', '3785', '6531', '6555', '467', '6571', '84254', '1558', '388585', '5243', '6513', '54902', '5179', '6334', '627', '4851', '4773', '1440', '2019', '2670', '1719', '4552', '4760', '5743', '842', '1244', '2990', '4524', '3399', '7124', '1806']
trustrank	drug	22.418075799942	50	['3588', '3576', '1611', '3593', '8807', '3172', '3717', '64127', '836', '2768', '64170', '94103', '4485', '6774', '8477', '400935', '639', '4353', '5970', '10109', '8624', '3579', '3586', '4057', '8767', '23046', '3587', '3663', '5771', '1670', '159296', '10320', '1235', '23308', '3912', '149233', '6556', '51738', '219771', '4318', '3575', '3577', '4046', '9966', '1811', '3383', '7412', '2212', '7124', '3123']
